mc	mn	onset	label	alt_label	volta	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	3/4	.A.I6			A	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
2	2	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
3	3	0	V(64)			A	I		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
3	3	1/4	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
4	4	0	V43			A	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
5	5	0	I(42)			A	I		I(42)	I				42			M	0	0	2, -1, 1		0.0	2.0
5	5	1/4	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
6	6	0	I(64)			A	I		I(64)	I				64			M	0	0	0, -1, 3		0.0	0.0
6	6	1/4	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
6	6	1/2	IV			A	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
7	7	0	I(64)			A	I		I(64)	I				64			M	0	0	0, -1, 3		0.0	0.0
7	7	1/4	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
7	7	1/2	IV			A	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
8	8	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
8	8	1/4	ii6			A	I		ii6	ii			6				m	0	0	-1, 3, 2		2.0	-1.0
8	8	1/2	V(64)			A	I		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
8	8	3/4	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
9	9	0	I(72)			A	I		I(72)	I				72			M	0	0	2, 4, 1	5	0.0	2.0
9	9	1/2	I\\			A	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
9	9	3/4	I6			A	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
10	10	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
11	11	0	V6			A	I		V6	V			6				M	0	0	5, 2, 1		1.0	5.0
11	11	3/4	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
12	12	0	V43			A	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
13	13	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
14	14	0	IV			A	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
15	15	0	I(64)			A	I		I(64)	I				64			M	0	0	0, -1, 3		0.0	0.0
15	15	1/4	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
15	15	1/2	IV			A	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
16	16	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
16	16	1/4	IV			A	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
16	16	1/2	V(6)			A	I		V(6)	V				6			M	0	0	1, 5, 4		1.0	1.0
16	16	3/4	V6			A	I		V6	V			6				M	0	0	5, 2, 1		1.0	5.0
17	17	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
19	19	0	V43(4)			A	I		V43(4)	V			43	4			Mm7	0	0	2, -1, 1, 0		1.0	2.0
19	19	1/4	V43			A	I		V43	V			43				Mm7	0	0	2, -1, 1, 5		1.0	2.0
20	20	0	V7			A	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
22	22	0	I(4)			A	I		I(4)	I				4			M	0	0	0, -1, 1		0.0	0.0
22	22	1/4	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
23	23	0	I6			A	I		I6	I			6				M	0	0	4, 1, 0		0.0	4.0
23	23	1/2	V65/IV			A	I		V65/IV	V			65		IV		Mm7	0	0	4, 1, -2, 0		0.0	4.0
24	24	0	IV			A	I		IV	IV							M	0	0	-1, 3, 0		-1.0	-1.0
25	25	0	V(64)			A	I		V(64)	V				64			M	0	0	1, 0, 4		1.0	1.0
25	25	1/2	V			A	I		V	V							M	0	0	1, 5, 2		1.0	1.0
26	26	0	I\\			A	I		I	I						\\	M	0	0	0, 4, 1		0.0	0.0
28	28	0	I			A	I		I	I							M	0	0	0, 4, 1		0.0	0.0
