mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	0	0	5/8	6/8	2	1	1/8		1/8	1		0	72	1
1	0	0	5/8	6/8	1	1	1/8		1/8	1		4	76	0
2	1	0	0	6/8	2	1	1/8		1/8	1		3	69	6
2	1	0	0	6/8	1	1	1/8		1/8	1		0	72	2
2	1	1/8	1/8	6/8	4	1	1/8		1/8	1		3	45	14
2	1	1/8	1/8	6/8	3	1	1/8		1/8	1		3	57	10
2	1	1/4	1/4	6/8	4	1	1/8		1/8	1		3	57	15
2	1	1/4	1/4	6/8	2	1	1/8		1/8	1		4	64	7
2	1	1/4	1/4	6/8	3	1	1/8		1/8	1		3	69	11
2	1	1/4	1/4	6/8	1	1	1/8		1/8	1		0	72	3
2	1	3/8	3/8	6/8	2	1	1/8		1/8	1		2	62	8
2	1	3/8	3/8	6/8	1	1	1/8		1/8	1		5	71	4
2	1	1/2	1/2	6/8	4	1	1/8		1/8	1		4	40	16
2	1	1/2	1/2	6/8	3	1	1/8		1/8	1		4	52	12
2	1	5/8	5/8	6/8	4	1	1/8		1/8	1		4	52	17
2	1	5/8	5/8	6/8	2	1	1/8		1/8	1		2	62	9
2	1	5/8	5/8	6/8	3	1	1/8		1/8	1		4	64	13
2	1	5/8	5/8	6/8	1	1	1/8		1/8	1		5	71	5
3	2	0	0	6/8	2	1	1/4		1/4	1		0	60	22
3	2	0	0	6/8	1	1	1/4		1/4	1		3	69	18
3	2	1/8	1/8	6/8	4	1	1/8		1/8	1		3	45	31
3	2	1/8	1/8	6/8	3	1	1/8		1/8	1		0	48	26
3	2	1/4	1/4	6/8	4	1	1/8		1/8	1		5	47	32
3	2	1/4	1/4	6/8	3	1	1/8		1/8	1		2	50	27
3	2	1/4	1/4	6/8	2	1	1/8		1/8	1		0	60	23
3	2	1/4	1/4	6/8	1	1	1/8		1/8	1		3	69	19
3	2	3/8	3/8	6/8	4	1	1/8		1/8	1		0	48	33
3	2	3/8	3/8	6/8	3	1	1/8		1/8	1		4	52	28
3	2	3/8	3/8	6/8	2	1	1/4		1/4	1		0	60	24
3	2	3/8	3/8	6/8	1	1	1/4		1/4	1		3	69	20
3	2	1/2	1/2	6/8	4	1	1/8		1/8	1		5	47	34
3	2	1/2	1/2	6/8	3	1	1/8		1/8	1		2	50	29
3	2	5/8	5/8	6/8	4	1	1/8		1/8	1		3	45	35
3	2	5/8	5/8	6/8	3	1	1/8		1/8	1		0	48	30
3	2	5/8	5/8	6/8	2	1	1/8		1/8	1		4	64	25
3	2	5/8	5/8	6/8	1	1	1/8		1/8	1		0	72	21
4	3	0	0	6/8	3	1	3/4		1/2	3/2		2	50	44
4	3	0	0	6/8	4	1	3/4		1/2	3/2		2	50	45
4	3	0	0	6/8	2	1	1/2		1/2	1	1	-1	65	41
4	3	0	0	6/8	1	1	1/4		1/4	1		-2	70	36
4	3	1/4	1/4	6/8	1	1	1/8		1/8	1		2	74	37
4	3	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	38
4	3	1/2	1/2	6/8	2	1	1/8		1/8	1	-1	-1	65	42
4	3	1/2	1/2	6/8	1	1	1/8		1/8	1		2	74	39
4	3	5/8	5/8	6/8	2	1	1/8		1/8	1		2	62	43
4	3	5/8	5/8	6/8	1	1	1/8		1/8	1		-2	70	40
5	4	0	0	6/8	3	1	3/8		1/4	3/2		4	52	54
5	4	0	0	6/8	4	1	3/8		1/4	3/2		4	52	56
5	4	0	0	6/8	2	1	1/4		1/4	1		0	60	50
5	4	0	0	6/8	1	1	1/4		1/4	1		3	69	46
5	4	1/4	1/4	6/8	2	1	1/8		1/8	1		5	59	51
5	4	1/4	1/4	6/8	1	1	1/8		1/8	1		8	68	47
5	4	3/8	3/8	6/8	4	1	1/4		1/4	1		4	40	57
5	4	3/8	3/8	6/8	3	1	1/4		1/4	1		4	52	55
5	4	3/8	3/8	6/8	2	1	1/8		1/8	1		5	59	52
5	4	3/8	3/8	6/8	1	1	1/8		1/8	1		8	68	48
5	4	5/8	5/8	6/8	2	1	1/8		1/8	1		0	72	53
5	4	5/8	5/8	6/8	1	1	1/8		1/8	1		4	76	49
6	5	0	0	6/8	2	1	1/8		1/8	1		3	69	62
6	5	0	0	6/8	1	1	1/8		1/8	1		0	72	58
6	5	1/8	1/8	6/8	4	1	1/8		1/8	1		3	45	70
6	5	1/8	1/8	6/8	3	1	1/8		1/8	1		3	57	66
6	5	1/4	1/4	6/8	4	1	1/8		1/8	1		3	57	71
6	5	1/4	1/4	6/8	2	1	1/8		1/8	1		4	64	63
6	5	1/4	1/4	6/8	3	1	1/8		1/8	1		3	69	67
6	5	1/4	1/4	6/8	1	1	1/8		1/8	1		0	72	59
6	5	3/8	3/8	6/8	2	1	1/8		1/8	1		2	62	64
6	5	3/8	3/8	6/8	1	1	1/8		1/8	1		5	71	60
6	5	1/2	1/2	6/8	4	1	1/8		1/8	1		4	40	72
6	5	1/2	1/2	6/8	3	1	1/8		1/8	1		4	52	68
6	5	5/8	5/8	6/8	4	1	1/8		1/8	1		4	52	73
6	5	5/8	5/8	6/8	2	1	1/8		1/8	1		2	62	65
6	5	5/8	5/8	6/8	3	1	1/8		1/8	1		4	64	69
6	5	5/8	5/8	6/8	1	1	1/8		1/8	1		5	71	61
7	6	0	0	6/8	2	1	1/4		1/4	1		0	60	78
7	6	0	0	6/8	1	1	1/4		1/4	1		3	69	74
7	6	1/8	1/8	6/8	4	1	1/8		1/8	1		3	45	87
7	6	1/8	1/8	6/8	3	1	1/8		1/8	1		0	48	82
7	6	1/4	1/4	6/8	4	1	1/8		1/8	1		5	47	88
7	6	1/4	1/4	6/8	3	1	1/8		1/8	1		2	50	83
7	6	1/4	1/4	6/8	2	1	1/8		1/8	1		0	60	79
7	6	1/4	1/4	6/8	1	1	1/8		1/8	1		3	69	75
7	6	3/8	3/8	6/8	4	1	1/8		1/8	1		0	48	89
7	6	3/8	3/8	6/8	3	1	1/8		1/8	1		4	52	84
7	6	3/8	3/8	6/8	2	1	1/4		1/4	1		0	60	80
7	6	3/8	3/8	6/8	1	1	1/4		1/4	1		3	69	76
7	6	1/2	1/2	6/8	4	1	1/8		1/8	1		5	47	90
7	6	1/2	1/2	6/8	3	1	1/8		1/8	1		2	50	85
7	6	5/8	5/8	6/8	4	1	1/8		1/8	1		3	45	91
7	6	5/8	5/8	6/8	3	1	1/8		1/8	1		0	48	86
7	6	5/8	5/8	6/8	2	1	1/8		1/8	1		4	64	81
7	6	5/8	5/8	6/8	1	1	1/8		1/8	1		0	72	77
8	7	0	0	6/8	3	1	1/4		1/4	1		2	50	99
8	7	0	0	6/8	4	1	1/4		1/4	1		2	50	101
8	7	0	0	6/8	2	1	1/4		1/4	1		-1	65	97
8	7	0	0	6/8	1	1	1/4		1/4	1		-2	70	92
8	7	1/4	1/4	6/8	1	1	1/8		1/8	1		2	74	93
8	7	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	94
8	7	1/2	1/2	6/8	1	1	1/8		1/8	1		4	76	95
8	7	5/8	5/8	6/8	4	1	1/8		1/8	1		4	52	102
8	7	5/8	5/8	6/8	3	1	1/8		1/8	1		5	59	100
8	7	5/8	5/8	6/8	2	1	1/8		1/8	1		2	62	98
8	7	5/8	5/8	6/8	1	1	1/8		1/8	1		8	68	96
9	8	0	0	6/8	4	1	1/4		1/4	1		3	45	109
9	8	0	0	6/8	3	1	3/8		1/4	3/2		8	56	107
9	8	0	0	6/8	2	1	3/8		1/4	3/2		2	62	105
9	8	0	0	6/8	1	1	3/8		1/4	3/2		5	71	103
9	8	1/4	1/4	6/8	4	1	1/8		1/8	1		3	57	110
9	8	3/8	3/8	6/8	4	1	1/4		1/4	1		3	45	111
9	8	3/8	3/8	6/8	3	1	1/4		1/4	1		3	57	108
9	8	3/8	3/8	6/8	2	1	1/4		1/4	1		0	60	106
9	8	3/8	3/8	6/8	1	1	1/8		1/8	1		3	69	104
10	9	0	0	6/8	1	1	1/8		1/8	1		0	72	112
10	9	1/8	1/8	6/8	1	1	1/8		1/8	1		0	72	113
10	9	1/4	1/4	6/8	1	1	1/8		1/8	1		0	72	114
10	9	3/8	3/8	6/8	1	1	1/8		1/8	1		0	72	115
10	9	1/2	1/2	6/8	1	1	1/8		1/8	1		0	72	116
10	9	5/8	5/8	6/8	1	1	1/8		1/8	1		0	72	117
11	10	0	0	6/8	4	1	1/8		1/8	1		4	64	136
11	10	0	0	6/8	3	1	1/8		1/8	1		1	67	130
11	10	0	0	6/8	2	1	1/8		1/8	1		-2	70	126
11	10	0	0	6/8	1	1	1/8		1/8	1		0	72	118
11	10	1/8	1/8	6/8	4	1	1/8		1/8	1		4	64	137
11	10	1/8	1/8	6/8	3	1	1/8		1/8	1		1	67	131
11	10	1/8	1/8	6/8	2	1	1/8		1/8	1		-2	70	127
11	10	1/8	1/8	6/8	1	1	1/8		1/8	1		0	72	119
11	10	1/4	1/4	6/8	4	1	1/8		1/8	1		4	64	138
11	10	1/4	1/4	6/8	3	1	1/8		1/8	1		1	67	132
11	10	1/4	1/4	6/8	2	1	1/8		1/8	1		-2	70	128
11	10	1/4	1/4	6/8	1	1	1/8		1/8	1		0	72	120
11	10	3/8	3/8	6/8	4	1	1/8		1/8	1		4	64	139
11	10	3/8	3/8	6/8	3	1	1/8		1/8	1		1	67	133
11	10	3/8	3/8	6/8	2	1	3/8		1/4	3/2		-2	70	129
11	10	3/8	3/8	6/8	1	1	1/8		1/8	1		0	72	121
11	10	1/2	1/2	6/8	4	1	1/8		1/8	1		4	64	140
11	10	1/2	1/2	6/8	3	1	1/8		1/8	1		1	67	134
11	10	1/2	1/2	6/8	1	1	1/16		1/16	1		2	74	122
11	10	9/16	9/16	6/8	1	1	1/16		1/16	1		4	76	123
11	10	5/8	5/8	6/8	4	1	1/8		1/8	1		4	64	141
11	10	5/8	5/8	6/8	3	1	1/8		1/8	1		1	67	135
11	10	5/8	5/8	6/8	1	1	1/16		1/16	1		-1	77	124
11	10	11/16	11/16	6/8	1	1	1/16		1/16	1		1	79	125
12	11	0	0	6/8	3	1	1/8		1/8	1		-1	65	154
12	11	0	0	6/8	4	1	1/8		1/8	1		-1	65	158
12	11	0	0	6/8	2	1	1/8		1/8	1		3	69	150
12	11	0	0	6/8	1	1	1/8		1/8	1		3	81	142
12	11	1/8	1/8	6/8	4	1	1/8		1/8	1		-1	65	159
12	11	1/8	1/8	6/8	3	1	1/8		1/8	1		3	69	155
12	11	1/8	1/8	6/8	2	1	1/8		1/8	1		0	72	151
12	11	1/8	1/8	6/8	1	1	1/8		1/8	1		3	81	143
12	11	1/4	1/4	6/8	4	1	1/8		1/8	1		-1	65	160
12	11	1/4	1/4	6/8	3	1	1/8		1/8	1		3	69	156
12	11	1/4	1/4	6/8	2	1	1/8		1/8	1		0	72	152
12	11	1/4	1/4	6/8	1	1	1/8		1/8	1		3	81	144
12	11	3/8	3/8	6/8	4	1	3/8		1/4	3/2		-1	65	161
12	11	3/8	3/8	6/8	3	1	3/8		1/4	3/2		3	69	157
12	11	3/8	3/8	6/8	2	1	3/8		1/4	3/2		0	72	153
12	11	3/8	3/8	6/8	1	1	1/8		1/8	1		3	81	145
12	11	1/2	1/2	6/8	1	1	1/16		1/16	1		-2	82	146
12	11	9/16	9/16	6/8	1	1	1/16		1/16	1		3	81	147
12	11	5/8	5/8	6/8	1	1	1/16		1/16	1		1	79	148
12	11	11/16	11/16	6/8	1	1	1/16		1/16	1		-1	77	149
13	12	0	0	6/8	4	1	1/8		1/8	1		1	67	174
13	12	0	0	6/8	3	1	1/8		1/8	1		-2	70	170
13	12	0	0	6/8	2	1	1/8		1/8	1		0	72	166
13	12	0	0	6/8	1	1	1/8		1/8	1		4	76	162
13	12	1/8	1/8	6/8	4	1	1/8		1/8	1		1	67	175
13	12	1/8	1/8	6/8	3	1	1/8		1/8	1		-2	70	171
13	12	1/8	1/8	6/8	2	1	1/8		1/8	1		0	72	167
13	12	1/8	1/8	6/8	1	1	1/8		1/8	1		4	76	163
13	12	1/4	1/4	6/8	4	1	1/8		1/8	1		1	67	176
13	12	1/4	1/4	6/8	3	1	1/8		1/8	1		-2	70	172
13	12	1/4	1/4	6/8	2	1	1/8		1/8	1		0	72	168
13	12	1/4	1/4	6/8	1	1	1/8		1/8	1		4	76	164
13	12	3/8	3/8	6/8	4	1	1/4		1/4	1		1	67	177
13	12	3/8	3/8	6/8	3	1	1/4		1/4	1		-2	70	173
13	12	3/8	3/8	6/8	2	1	1/4		1/4	1		0	72	169
13	12	3/8	3/8	6/8	1	1	1/4		1/4	1		4	76	165
14	13	0	0	6/8	1	1	1/8		1/8	1		-1	77	178
14	13	1/8	1/8	6/8	1	1	1/8		1/8	1		-1	77	179
14	13	1/4	1/4	6/8	1	1	1/8		1/8	1		-1	77	180
14	13	3/8	3/8	6/8	1	1	1/8		1/8	1		-1	77	181
14	13	1/2	1/2	6/8	1	1	1/16		1/16	1		1	79	182
14	13	9/16	9/16	6/8	1	1	1/16		1/16	1		-1	77	183
14	13	5/8	5/8	6/8	1	1	1/16		1/16	1		4	76	184
14	13	11/16	11/16	6/8	1	1	1/16		1/16	1		2	74	185
15	14	0	0	6/8	4	1	1/8		1/8	1		4	64	198
15	14	0	0	6/8	3	1	1/8		1/8	1		1	67	194
15	14	0	0	6/8	2	1	1/8		1/8	1		-2	70	190
15	14	0	0	6/8	1	1	1/8		1/8	1		7	73	186
15	14	1/8	1/8	6/8	4	1	1/8		1/8	1		4	64	199
15	14	1/8	1/8	6/8	3	1	1/8		1/8	1		1	67	195
15	14	1/8	1/8	6/8	2	1	1/8		1/8	1		-2	70	191
15	14	1/8	1/8	6/8	1	1	1/8		1/8	1		7	73	187
15	14	1/4	1/4	6/8	4	1	1/8		1/8	1		4	64	200
15	14	1/4	1/4	6/8	3	1	1/8		1/8	1		1	67	196
15	14	1/4	1/4	6/8	2	1	1/8		1/8	1		-2	70	192
